user_id,edad,genero,nivel_ingresos,nivel_educativo,intereses,tipo_suscripcion,categoria_cliente,ubicacion,dispositivo,frecuencia_login
65,52,Masculino,Alto,Secundaria,"Bienestar Mental, Desarrollo Personal, Nutrición",Premium,Oro,Suburbio,Tablet,Diaria
66,18,Masculino,Medio,Secundaria,"Nutrición, Salud, Bienestar Mental",VIP,Oro,Suburbio,Tablet,Mensual
67,29,Masculino,Alto,Doctorado,Familia,VIP,Oro,Suburbio,PC,Mensual
68,62,Masculino,Bajo,Universidad,"Bienestar Mental, Deportes",Premium,Bronce,Ciudad,Tablet,Diaria
69,62,Masculino,Bajo,Postgrado,"Salud, Nutrición, Bienestar Mental",Premium,Oro,Suburbio,Móvil,Diaria
70,56,Masculino,Medio,Universidad,"Salud, Desarrollo Personal",VIP,Plata,Suburbio,Tablet,Semanal
71,28,No Binario,Bajo,Universidad,Mascotas,Premium,Plata,Suburbio,Tablet,Diaria
72,29,Prefiero no decir,Bajo,Doctorado,"Familia, Deportes, Desarrollo Personal",VIP,Plata,Rural,PC,Mensual
73,56,Prefiero no decir,Medio,Secundaria,"Nutrición, Salud, Mascotas",Free,Bronce,Ciudad,Tablet,Diaria
74,56,Prefiero no decir,Alto,Doctorado,"Nutrición, Deportes",VIP,Plata,Ciudad,Tablet,Diaria
75,37,Masculino,Alto,Universidad,"Desarrollo Personal, Salud, Bienestar Mental",Free,Oro,Suburbio,Tablet,Mensual
76,30,Masculino,Bajo,Secundaria,"Desarrollo Personal, Deportes",Free,Bronce,Ciudad,Tablet,Semanal
77,18,Femenino,Medio,Doctorado,"Bienestar Mental, Deportes",Premium,Plata,Rural,PC,Diaria
78,18,Masculino,Bajo,Secundaria,Mascotas,Premium,Plata,Rural,Tablet,Semanal
79,32,No Binario,Medio,Postgrado,"Deportes, Desarrollo Personal, Salud",Premium,Bronce,Ciudad,Móvil,Semanal
80,54,No Binario,Medio,Secundaria,Bienestar Mental,Free,Oro,Rural,Móvil,Semanal
81,43,No Binario,Medio,Secundaria,Mascotas,VIP,Plata,Suburbio,Tablet,Semanal
82,25,Femenino,Bajo,Doctorado,"Mascotas, Familia, Bienestar Mental",Premium,Bronce,Ciudad,Móvil,Mensual
83,54,No Binario,Bajo,Doctorado,Desarrollo Personal,Premium,Plata,Suburbio,Móvil,Semanal
84,31,Masculino,Alto,Universidad,"Bienestar Mental, Familia",Free,Plata,Ciudad,Tablet,Diaria
85,43,No Binario,Alto,Postgrado,"Salud, Desarrollo Personal",Free,Plata,Suburbio,Móvil,Semanal
86,55,Femenino,Medio,Secundaria,Deportes,Free,Oro,Ciudad,PC,Semanal
87,49,Femenino,Alto,Secundaria,Salud,Free,Oro,Rural,Tablet,Diaria
88,39,No Binario,Alto,Doctorado,"Deportes, Mascotas",VIP,Oro,Rural,Tablet,Mensual
89,36,No Binario,Bajo,Universidad,Mascotas,VIP,Plata,Rural,PC,Mensual
90,57,Masculino,Medio,Universidad,"Deportes, Desarrollo Personal",VIP,Oro,Suburbio,Tablet,Diaria
91,43,No Binario,Alto,Universidad,Bienestar Mental,Free,Oro,Ciudad,PC,Semanal
92,29,Prefiero no decir,Bajo,Universidad,"Deportes, Nutrición",Free,Oro,Ciudad,Tablet,Diaria
93,25,Femenino,Alto,Postgrado,"Bienestar Mental, Nutrición, Deportes",VIP,Plata,Rural,Tablet,Mensual
94,31,Prefiero no decir,Alto,Doctorado,Salud,Free,Oro,Rural,PC,Diaria
95,60,Femenino,Bajo,Secundaria,Bienestar Mental,Premium,Plata,Rural,PC,Diaria
96,58,Prefiero no decir,Bajo,Postgrado,"Salud, Bienestar Mental",VIP,Bronce,Ciudad,PC,Diaria
97,26,Masculino,Alto,Universidad,"Mascotas, Salud",Free,Oro,Rural,PC,Mensual
98,37,Masculino,Bajo,Universidad,Mascotas,VIP,Oro,Suburbio,PC,Mensual
99,47,Masculino,Medio,Secundaria,"Salud, Desarrollo Personal",Premium,Plata,Suburbio,PC,Diaria
100,50,Femenino,Alto,Doctorado,"Bienestar Mental, Familia, Nutrición",VIP,Bronce,Rural,Tablet,Diaria
101,46,Femenino,Alto,Doctorado,"Mascotas, Salud",Premium,Plata,Rural,Tablet,Diaria
102,44,Femenino,Alto,Universidad,Mascotas,VIP,Oro,Rural,Tablet,Diaria
103,39,Masculino,Alto,Doctorado,Bienestar Mental,Free,Plata,Ciudad,Móvil,Semanal
104,54,Femenino,Medio,Universidad,Mascotas,Premium,Oro,Rural,Tablet,Semanal
105,24,No Binario,Bajo,Postgrado,"Deportes, Desarrollo Personal",Premium,Bronce,Rural,Tablet,Diaria
106,33,No Binario,Bajo,Doctorado,"Bienestar Mental, Familia, Salud",VIP,Plata,Rural,Tablet,Mensual
107,36,No Binario,Alto,Secundaria,Nutrición,Free,Oro,Suburbio,Tablet,Mensual
108,62,Masculino,Bajo,Postgrado,Desarrollo Personal,Premium,Plata,Suburbio,Móvil,Semanal
109,43,Femenino,Bajo,Universidad,Bienestar Mental,Free,Oro,Rural,Móvil,Mensual
110,31,Prefiero no decir,Alto,Secundaria,"Nutrición, Familia",Premium,Plata,Rural,PC,Diaria
111,51,Prefiero no decir,Bajo,Secundaria,"Deportes, Salud",Free,Bronce,Rural,PC,Mensual
112,21,Masculino,Alto,Universidad,"Desarrollo Personal, Bienestar Mental",Premium,Oro,Rural,Tablet,Diaria
113,53,Masculino,Bajo,Doctorado,"Deportes, Familia, Desarrollo Personal",VIP,Oro,Ciudad,PC,Mensual
114,47,Prefiero no decir,Alto,Secundaria,Desarrollo Personal,Premium,Bronce,Rural,PC,Semanal
115,57,Masculino,Alto,Postgrado,"Desarrollo Personal, Mascotas, Bienestar Mental",Premium,Bronce,Ciudad,Tablet,Semanal
116,35,Femenino,Alto,Secundaria,"Bienestar Mental, Familia",Free,Plata,Ciudad,Tablet,Mensual
117,41,No Binario,Alto,Doctorado,"Nutrición, Mascotas, Familia",Free,Bronce,Suburbio,Móvil,Diaria
118,57,Masculino,Medio,Doctorado,"Mascotas, Bienestar Mental",Free,Plata,Suburbio,PC,Semanal
119,63,Masculino,Bajo,Doctorado,"Desarrollo Personal, Mascotas",Free,Plata,Rural,Móvil,Mensual
120,20,Femenino,Alto,Secundaria,"Familia, Deportes",VIP,Plata,Ciudad,Tablet,Diaria
121,60,Masculino,Bajo,Secundaria,"Desarrollo Personal, Salud, Familia",Premium,Oro,Suburbio,Tablet,Mensual
122,33,Masculino,Alto,Secundaria,"Bienestar Mental, Mascotas, Salud",Premium,Plata,Rural,PC,Diaria
123,28,No Binario,Medio,Universidad,"Familia, Salud",VIP,Plata,Ciudad,PC,Mensual
124,35,No Binario,Alto,Universidad,"Deportes, Salud, Familia",VIP,Oro,Rural,Tablet,Diaria
125,61,No Binario,Bajo,Universidad,"Salud, Desarrollo Personal, Familia",VIP,Plata,Suburbio,PC,Semanal
126,52,Femenino,Bajo,Secundaria,Bienestar Mental,VIP,Bronce,Rural,PC,Mensual
127,54,Prefiero no decir,Medio,Universidad,Desarrollo Personal,VIP,Oro,Rural,Móvil,Diaria
128,49,Masculino,Bajo,Secundaria,"Salud, Deportes",Premium,Bronce,Suburbio,PC,Semanal
129,32,Femenino,Medio,Doctorado,"Desarrollo Personal, Nutrición",VIP,Bronce,Ciudad,Móvil,Semanal
130,57,Femenino,Medio,Doctorado,"Familia, Nutrición",Premium,Bronce,Ciudad,PC,Mensual
131,60,Prefiero no decir,Bajo,Doctorado,"Familia, Mascotas, Bienestar Mental",Free,Bronce,Rural,PC,Diaria
132,45,Prefiero no decir,Medio,Postgrado,"Bienestar Mental, Familia",Premium,Bronce,Suburbio,Móvil,Diaria
133,42,No Binario,Bajo,Postgrado,"Familia, Bienestar Mental",VIP,Bronce,Rural,PC,Diaria
134,53,Prefiero no decir,Alto,Secundaria,"Familia, Deportes",Premium,Bronce,Ciudad,PC,Diaria
135,62,Masculino,Alto,Doctorado,"Deportes, Nutrición, Salud",Free,Plata,Suburbio,Tablet,Diaria
136,53,Prefiero no decir,Bajo,Postgrado,"Desarrollo Personal, Bienestar Mental, Familia",Premium,Oro,Suburbio,Tablet,Semanal
137,52,Masculino,Bajo,Universidad,"Deportes, Mascotas",VIP,Oro,Rural,Móvil,Mensual
138,23,No Binario,Bajo,Postgrado,"Nutrición, Mascotas",VIP,Bronce,Suburbio,PC,Diaria
139,18,Prefiero no decir,Bajo,Secundaria,Familia,Free,Plata,Ciudad,PC,Diaria
140,54,Prefiero no decir,Bajo,Secundaria,"Familia, Bienestar Mental, Salud",Free,Oro,Suburbio,Tablet,Semanal
141,40,Femenino,Medio,Doctorado,Familia,Free,Oro,Suburbio,Móvil,Diaria
142,56,Masculino,Bajo,Doctorado,"Desarrollo Personal, Salud, Deportes",Premium,Bronce,Ciudad,PC,Semanal
143,38,No Binario,Alto,Universidad,Desarrollo Personal,Free,Plata,Rural,PC,Diaria
144,44,Masculino,Bajo,Doctorado,Deportes,Premium,Bronce,Rural,PC,Semanal
145,63,Femenino,Bajo,Doctorado,"Nutrición, Bienestar Mental",Free,Plata,Rural,PC,Mensual
146,27,Prefiero no decir,Bajo,Secundaria,Mascotas,Premium,Oro,Ciudad,PC,Mensual
147,63,No Binario,Bajo,Doctorado,Desarrollo Personal,Premium,Oro,Suburbio,Tablet,Semanal
148,28,No Binario,Medio,Secundaria,Familia,Premium,Plata,Suburbio,Tablet,Mensual
149,56,Femenino,Medio,Postgrado,"Deportes, Nutrición, Familia",Free,Plata,Suburbio,PC,Semanal
150,36,Masculino,Medio,Postgrado,"Mascotas, Familia",Premium,Plata,Rural,Tablet,Semanal
151,36,No Binario,Medio,Secundaria,Salud,Premium,Oro,Suburbio,Tablet,Mensual
152,25,No Binario,Bajo,Doctorado,Bienestar Mental,Premium,Bronce,Ciudad,Tablet,Diaria
153,51,No Binario,Medio,Doctorado,"Bienestar Mental, Mascotas, Nutrición",Premium,Bronce,Rural,Tablet,Semanal
154,43,No Binario,Alto,Postgrado,"Desarrollo Personal, Familia, Salud",VIP,Bronce,Ciudad,Tablet,Diaria
155,24,Femenino,Medio,Doctorado,Bienestar Mental,Free,Plata,Rural,Tablet,Mensual
156,50,Prefiero no decir,Bajo,Postgrado,"Familia, Salud",Premium,Bronce,Ciudad,Móvil,Mensual
157,33,Femenino,Bajo,Universidad,Mascotas,VIP,Plata,Suburbio,Móvil,Mensual
158,46,Masculino,Alto,Postgrado,"Nutrición, Salud, Familia",Free,Plata,Suburbio,Móvil,Diaria
159,48,Femenino,Alto,Universidad,"Mascotas, Desarrollo Personal",Premium,Oro,Suburbio,Tablet,Diaria
160,36,Masculino,Alto,Secundaria,"Desarrollo Personal, Nutrición",Premium,Bronce,Rural,Tablet,Diaria
161,38,Prefiero no decir,Alto,Postgrado,"Salud, Mascotas, Familia",Free,Plata,Suburbio,PC,Diaria
162,52,Masculino,Medio,Secundaria,"Deportes, Bienestar Mental",Premium,Oro,Suburbio,Tablet,Diaria
163,34,No Binario,Alto,Postgrado,"Familia, Desarrollo Personal",Premium,Plata,Ciudad,PC,Mensual
164,28,No Binario,Medio,Secundaria,Salud,Premium,Bronce,Ciudad,PC,Mensual
165,63,Prefiero no decir,Medio,Postgrado,Deportes,Free,Plata,Rural,Tablet,Diaria
166,60,Prefiero no decir,Alto,Universidad,"Desarrollo Personal, Salud",Premium,Plata,Suburbio,Tablet,Semanal
167,44,Femenino,Alto,Doctorado,"Deportes, Familia, Desarrollo Personal",VIP,Plata,Rural,Tablet,Semanal
168,22,Femenino,Medio,Postgrado,"Nutrición, Bienestar Mental, Deportes",VIP,Plata,Ciudad,Tablet,Mensual
169,24,No Binario,Alto,Doctorado,"Desarrollo Personal, Nutrición",Free,Oro,Suburbio,Tablet,Mensual
170,42,Prefiero no decir,Alto,Postgrado,"Familia, Bienestar Mental, Salud",Premium,Plata,Suburbio,Tablet,Diaria
171,62,No Binario,Bajo,Universidad,"Deportes, Salud, Bienestar Mental",Premium,Plata,Rural,PC,Mensual
172,39,Masculino,Alto,Secundaria,"Nutrición, Deportes",Premium,Oro,Ciudad,PC,Mensual
173,21,Prefiero no decir,Medio,Secundaria,Desarrollo Personal,Premium,Bronce,Suburbio,Móvil,Mensual
174,19,No Binario,Bajo,Postgrado,"Deportes, Desarrollo Personal, Mascotas",Premium,Bronce,Ciudad,PC,Diaria
175,63,Femenino,Alto,Secundaria,"Bienestar Mental, Salud, Desarrollo Personal",VIP,Oro,Ciudad,Móvil,Diaria
176,40,Masculino,Alto,Universidad,Nutrición,VIP,Oro,Rural,Móvil,Mensual
177,26,Masculino,Bajo,Universidad,"Mascotas, Familia",Free,Bronce,Rural,Móvil,Semanal
178,20,No Binario,Alto,Universidad,Nutrición,Free,Plata,Ciudad,Tablet,Semanal
179,43,No Binario,Bajo,Doctorado,Deportes,Free,Bronce,Suburbio,Móvil,Diaria
180,47,Masculino,Alto,Universidad,"Familia, Deportes, Desarrollo Personal",Free,Bronce,Rural,PC,Semanal
181,47,No Binario,Bajo,Doctorado,"Bienestar Mental, Desarrollo Personal, Mascotas",Free,Bronce,Suburbio,Móvil,Diaria
182,59,Femenino,Alto,Doctorado,Mascotas,VIP,Oro,Suburbio,Tablet,Mensual
183,43,Prefiero no decir,Medio,Universidad,"Deportes, Salud, Bienestar Mental",Free,Bronce,Suburbio,PC,Diaria
184,61,No Binario,Bajo,Universidad,"Salud, Nutrición, Deportes",Free,Oro,Suburbio,Móvil,Mensual
185,20,Masculino,Medio,Doctorado,Nutrición,Premium,Oro,Suburbio,PC,Diaria
186,52,Femenino,Alto,Postgrado,Salud,Premium,Plata,Suburbio,Tablet,Mensual
187,52,Prefiero no decir,Bajo,Universidad,"Nutrición, Deportes",Free,Bronce,Rural,Móvil,Mensual
188,35,Prefiero no decir,Medio,Doctorado,"Mascotas, Familia, Deportes",Free,Oro,Suburbio,Tablet,Semanal
189,57,Masculino,Alto,Postgrado,"Nutrición, Mascotas",VIP,Plata,Ciudad,PC,Semanal
190,33,No Binario,Bajo,Secundaria,"Desarrollo Personal, Deportes, Bienestar Mental",Free,Oro,Suburbio,PC,Semanal
191,41,Femenino,Medio,Secundaria,"Deportes, Familia, Desarrollo Personal",Premium,Oro,Suburbio,Tablet,Mensual
192,37,No Binario,Alto,Doctorado,"Familia, Bienestar Mental",Free,Plata,Ciudad,PC,Mensual
193,58,Femenino,Medio,Universidad,"Nutrición, Mascotas",Premium,Bronce,Suburbio,Tablet,Diaria
194,21,Femenino,Bajo,Secundaria,Nutrición,VIP,Plata,Ciudad,Tablet,Mensual
195,19,No Binario,Bajo,Secundaria,"Bienestar Mental, Nutrición, Mascotas",VIP,Plata,Ciudad,Tablet,Semanal
196,60,Prefiero no decir,Medio,Postgrado,"Familia, Salud, Nutrición",VIP,Bronce,Suburbio,Tablet,Mensual
197,32,Prefiero no decir,Medio,Doctorado,"Nutrición, Deportes, Salud",Premium,Plata,Suburbio,Tablet,Diaria
198,49,Femenino,Alto,Postgrado,"Nutrición, Desarrollo Personal, Bienestar Mental",Premium,Bronce,Suburbio,Móvil,Semanal
199,22,No Binario,Medio,Secundaria,"Deportes, Salud",VIP,Plata,Rural,Tablet,Diaria
200,26,Prefiero no decir,Alto,Secundaria,"Salud, Familia",Free,Oro,Suburbio,Tablet,Mensual
201,42,No Binario,Bajo,Doctorado,Salud,VIP,Oro,Suburbio,Móvil,Diaria
202,51,Prefiero no decir,Alto,Secundaria,Deportes,Free,Bronce,Ciudad,Tablet,Mensual
203,50,Femenino,Bajo,Universidad,"Bienestar Mental, Mascotas, Deportes",Free,Oro,Rural,Tablet,Diaria
204,52,No Binario,Alto,Universidad,"Desarrollo Personal, Salud",Premium,Oro,Ciudad,Tablet,Mensual
205,54,Masculino,Alto,Postgrado,Familia,Free,Plata,Rural,Tablet,Semanal
206,37,Prefiero no decir,Bajo,Universidad,Deportes,Free,Oro,Suburbio,PC,Diaria
207,20,Femenino,Alto,Universidad,"Familia, Salud",Free,Bronce,Ciudad,PC,Semanal
208,54,Masculino,Alto,Secundaria,"Familia, Deportes",VIP,Oro,Rural,PC,Diaria
209,63,Masculino,Bajo,Postgrado,"Familia, Deportes, Bienestar Mental",Premium,Bronce,Rural,Móvil,Diaria
210,33,Prefiero no decir,Medio,Secundaria,"Bienestar Mental, Mascotas",Premium,Bronce,Suburbio,Móvil,Semanal
211,21,Masculino,Bajo,Universidad,"Bienestar Mental, Familia",Premium,Plata,Ciudad,PC,Semanal
212,31,No Binario,Medio,Postgrado,Desarrollo Personal,VIP,Plata,Ciudad,PC,Diaria
213,31,Femenino,Bajo,Postgrado,"Salud, Familia",VIP,Oro,Rural,Móvil,Mensual
214,54,Femenino,Medio,Secundaria,Deportes,VIP,Oro,Rural,Móvil,Mensual
215,57,Masculino,Bajo,Postgrado,Bienestar Mental,VIP,Bronce,Ciudad,Móvil,Mensual
216,21,Prefiero no decir,Medio,Postgrado,Familia,Free,Bronce,Rural,Móvil,Semanal
217,29,Masculino,Bajo,Postgrado,"Nutrición, Deportes, Salud",Premium,Plata,Suburbio,PC,Mensual
218,40,Femenino,Alto,Secundaria,"Mascotas, Familia, Desarrollo Personal",Free,Bronce,Suburbio,Móvil,Diaria
219,62,Femenino,Alto,Doctorado,Familia,VIP,Bronce,Ciudad,Tablet,Mensual
220,60,No Binario,Medio,Doctorado,Nutrición,Premium,Plata,Ciudad,PC,Diaria
221,30,Femenino,Bajo,Universidad,"Salud, Nutrición, Desarrollo Personal",VIP,Oro,Ciudad,PC,Mensual
222,47,Prefiero no decir,Medio,Doctorado,Salud,Premium,Plata,Rural,Móvil,Mensual
223,39,No Binario,Medio,Doctorado,"Deportes, Salud",Premium,Plata,Ciudad,Móvil,Diaria
224,63,Femenino,Alto,Postgrado,"Nutrición, Salud, Bienestar Mental",Free,Plata,Ciudad,Tablet,Diaria
225,38,Masculino,Alto,Secundaria,Familia,VIP,Oro,Ciudad,Móvil,Diaria
226,40,Femenino,Medio,Postgrado,"Salud, Mascotas, Deportes",VIP,Bronce,Suburbio,Tablet,Semanal
227,22,Prefiero no decir,Alto,Postgrado,Deportes,Premium,Bronce,Rural,Tablet,Diaria
228,26,Prefiero no decir,Bajo,Universidad,Bienestar Mental,Free,Oro,Rural,PC,Semanal
229,33,No Binario,Bajo,Postgrado,Salud,VIP,Plata,Rural,Tablet,Diaria
230,32,No Binario,Bajo,Doctorado,"Nutrición, Deportes, Salud",Free,Oro,Ciudad,Tablet,Semanal
231,54,No Binario,Bajo,Postgrado,Salud,VIP,Plata,Suburbio,Móvil,Diaria
232,24,Masculino,Bajo,Secundaria,"Salud, Nutrición, Mascotas",Premium,Oro,Rural,Móvil,Diaria
233,37,No Binario,Bajo,Secundaria,"Deportes, Salud, Bienestar Mental",Free,Oro,Rural,Móvil,Semanal
234,52,Femenino,Medio,Secundaria,"Nutrición, Bienestar Mental, Familia",Premium,Oro,Rural,Tablet,Semanal
235,32,Prefiero no decir,Bajo,Universidad,"Nutrición, Bienestar Mental, Familia",Premium,Bronce,Ciudad,PC,Mensual
236,32,Femenino,Medio,Universidad,"Bienestar Mental, Deportes",Premium,Bronce,Rural,Tablet,Diaria
237,30,Femenino,Medio,Doctorado,Desarrollo Personal,Premium,Oro,Suburbio,Móvil,Diaria
238,64,Femenino,Bajo,Doctorado,"Familia, Desarrollo Personal, Salud",VIP,Bronce,Suburbio,PC,Mensual
239,42,No Binario,Alto,Postgrado,"Desarrollo Personal, Deportes",VIP,Oro,Rural,Tablet,Semanal
240,23,Femenino,Alto,Doctorado,"Bienestar Mental, Desarrollo Personal, Deportes",Premium,Plata,Ciudad,Móvil,Mensual
241,23,No Binario,Medio,Doctorado,Bienestar Mental,Free,Bronce,Ciudad,Móvil,Semanal
242,24,Femenino,Bajo,Doctorado,"Desarrollo Personal, Nutrición",Premium,Bronce,Suburbio,Tablet,Semanal
243,28,Femenino,Alto,Secundaria,Familia,Free,Bronce,Ciudad,PC,Mensual
244,28,No Binario,Alto,Postgrado,"Nutrición, Familia",Free,Oro,Rural,PC,Diaria
245,41,Prefiero no decir,Medio,Doctorado,"Salud, Deportes, Bienestar Mental",Free,Oro,Suburbio,PC,Diaria
246,36,Masculino,Bajo,Secundaria,"Nutrición, Deportes, Bienestar Mental",VIP,Plata,Suburbio,Tablet,Diaria
247,20,No Binario,Bajo,Doctorado,"Nutrición, Deportes, Bienestar Mental",VIP,Plata,Rural,PC,Diaria
248,49,Prefiero no decir,Medio,Doctorado,"Desarrollo Personal, Nutrición",Premium,Oro,Ciudad,Tablet,Diaria
249,50,Prefiero no decir,Medio,Postgrado,"Deportes, Desarrollo Personal, Nutrición",Premium,Oro,Rural,PC,Semanal
250,60,No Binario,Alto,Doctorado,"Bienestar Mental, Desarrollo Personal",VIP,Plata,Suburbio,Móvil,Semanal
