user_id,genero,intereses,edad_category
46,Femenino,"Bienestar Mental, Familia",54-65
47,Masculino,Salud,18-29
48,Femenino,Familia,18-29
49,Femenino,"Familia, Salud",18-29
50,Prefiero no decir,Familia,18-29
51,Masculino,"Salud, Bienestar Mental, Deportes",42-53
52,Femenino,Bienestar Mental,54-65
53,No Binario,"Salud, Desarrollo Personal, Mascotas",42-53
54,Femenino,"Mascotas, Nutrición",18-29
55,Masculino,Mascotas,18-29
56,Masculino,"Mascotas, Salud",18-29
57,No Binario,"Nutrición, Bienestar Mental, Desarrollo Personal",54-65
58,Prefiero no decir,Deportes,18-29
59,No Binario,"Mascotas, Bienestar Mental, Nutrición",42-53
60,Prefiero no decir,Desarrollo Personal,18-29
61,No Binario,"Bienestar Mental, Desarrollo Personal, Nutrición",30-41
62,Prefiero no decir,"Desarrollo Personal, Familia, Deportes",54-65
63,Femenino,Familia,42-53
64,Masculino,"Mascotas, Nutrición",30-41
65,Masculino,"Bienestar Mental, Desarrollo Personal, Nutrición",42-53
66,Masculino,"Nutrición, Salud, Bienestar Mental",18-29
67,Masculino,Familia,18-29
68,Masculino,"Bienestar Mental, Deportes",54-65
69,Masculino,"Salud, Nutrición, Bienestar Mental",54-65
70,Masculino,"Salud, Desarrollo Personal",54-65
71,No Binario,Mascotas,18-29
72,Prefiero no decir,"Familia, Deportes, Desarrollo Personal",18-29
73,Prefiero no decir,"Nutrición, Salud, Mascotas",54-65
74,Prefiero no decir,"Nutrición, Deportes",54-65
75,Masculino,"Desarrollo Personal, Salud, Bienestar Mental",30-41
76,Masculino,"Desarrollo Personal, Deportes",30-41
77,Femenino,"Bienestar Mental, Deportes",18-29
78,Masculino,Mascotas,18-29
79,No Binario,"Deportes, Desarrollo Personal, Salud",30-41
80,No Binario,Bienestar Mental,54-65
81,No Binario,Mascotas,42-53
82,Femenino,"Mascotas, Familia, Bienestar Mental",18-29
83,No Binario,Desarrollo Personal,54-65
84,Masculino,"Bienestar Mental, Familia",30-41
85,No Binario,"Salud, Desarrollo Personal",42-53
86,Femenino,Deportes,54-65
87,Femenino,Salud,42-53
88,No Binario,"Deportes, Mascotas",30-41
89,No Binario,Mascotas,30-41
90,Masculino,"Deportes, Desarrollo Personal",54-65
91,No Binario,Bienestar Mental,42-53
92,Prefiero no decir,"Deportes, Nutrición",18-29
93,Femenino,"Bienestar Mental, Nutrición, Deportes",18-29
94,Prefiero no decir,Salud,30-41
95,Femenino,Bienestar Mental,54-65
96,Prefiero no decir,"Salud, Bienestar Mental",54-65
97,Masculino,"Mascotas, Salud",18-29
98,Masculino,Mascotas,30-41
99,Masculino,"Salud, Desarrollo Personal",42-53
100,Femenino,"Bienestar Mental, Familia, Nutrición",42-53
101,Femenino,"Mascotas, Salud",42-53
102,Femenino,Mascotas,42-53
103,Masculino,Bienestar Mental,30-41
104,Femenino,Mascotas,54-65
105,No Binario,"Deportes, Desarrollo Personal",18-29
106,No Binario,"Bienestar Mental, Familia, Salud",30-41
107,No Binario,Nutrición,30-41
108,Masculino,Desarrollo Personal,54-65
109,Femenino,Bienestar Mental,42-53
110,Prefiero no decir,"Nutrición, Familia",30-41
111,Prefiero no decir,"Deportes, Salud",42-53
112,Masculino,"Desarrollo Personal, Bienestar Mental",18-29
113,Masculino,"Deportes, Familia, Desarrollo Personal",42-53
114,Prefiero no decir,Desarrollo Personal,42-53
115,Masculino,"Desarrollo Personal, Mascotas, Bienestar Mental",54-65
116,Femenino,"Bienestar Mental, Familia",30-41
117,No Binario,"Nutrición, Mascotas, Familia",30-41
118,Masculino,"Mascotas, Bienestar Mental",54-65
119,Masculino,"Desarrollo Personal, Mascotas",54-65
120,Femenino,"Familia, Deportes",18-29
121,Masculino,"Desarrollo Personal, Salud, Familia",54-65
122,Masculino,"Bienestar Mental, Mascotas, Salud",30-41
123,No Binario,"Familia, Salud",18-29
124,No Binario,"Deportes, Salud, Familia",30-41
125,No Binario,"Salud, Desarrollo Personal, Familia",54-65
126,Femenino,Bienestar Mental,42-53
127,Prefiero no decir,Desarrollo Personal,54-65
128,Masculino,"Salud, Deportes",42-53
129,Femenino,"Desarrollo Personal, Nutrición",30-41
130,Femenino,"Familia, Nutrición",54-65
131,Prefiero no decir,"Familia, Mascotas, Bienestar Mental",54-65
132,Prefiero no decir,"Bienestar Mental, Familia",42-53
133,No Binario,"Familia, Bienestar Mental",42-53
134,Prefiero no decir,"Familia, Deportes",42-53
135,Masculino,"Deportes, Nutrición, Salud",54-65
136,Prefiero no decir,"Desarrollo Personal, Bienestar Mental, Familia",42-53
137,Masculino,"Deportes, Mascotas",42-53
138,No Binario,"Nutrición, Mascotas",18-29
139,Prefiero no decir,Familia,18-29
140,Prefiero no decir,"Familia, Bienestar Mental, Salud",54-65
141,Femenino,Familia,30-41
142,Masculino,"Desarrollo Personal, Salud, Deportes",54-65
143,No Binario,Desarrollo Personal,30-41
144,Masculino,Deportes,42-53
145,Femenino,"Nutrición, Bienestar Mental",54-65
146,Prefiero no decir,Mascotas,18-29
147,No Binario,Desarrollo Personal,54-65
148,No Binario,Familia,18-29
149,Femenino,"Deportes, Nutrición, Familia",54-65
150,Masculino,"Mascotas, Familia",30-41
151,No Binario,Salud,30-41
152,No Binario,Bienestar Mental,18-29
153,No Binario,"Bienestar Mental, Mascotas, Nutrición",42-53
154,No Binario,"Desarrollo Personal, Familia, Salud",42-53
155,Femenino,Bienestar Mental,18-29
156,Prefiero no decir,"Familia, Salud",42-53
157,Femenino,Mascotas,30-41
158,Masculino,"Nutrición, Salud, Familia",42-53
159,Femenino,"Mascotas, Desarrollo Personal",42-53
160,Masculino,"Desarrollo Personal, Nutrición",30-41
161,Prefiero no decir,"Salud, Mascotas, Familia",30-41
162,Masculino,"Deportes, Bienestar Mental",42-53
163,No Binario,"Familia, Desarrollo Personal",30-41
164,No Binario,Salud,18-29
165,Prefiero no decir,Deportes,54-65
166,Prefiero no decir,"Desarrollo Personal, Salud",54-65
167,Femenino,"Deportes, Familia, Desarrollo Personal",42-53
168,Femenino,"Nutrición, Bienestar Mental, Deportes",18-29
169,No Binario,"Desarrollo Personal, Nutrición",18-29
170,Prefiero no decir,"Familia, Bienestar Mental, Salud",42-53
171,No Binario,"Deportes, Salud, Bienestar Mental",54-65
172,Masculino,"Nutrición, Deportes",30-41
173,Prefiero no decir,Desarrollo Personal,18-29
174,No Binario,"Deportes, Desarrollo Personal, Mascotas",18-29
175,Femenino,"Bienestar Mental, Salud, Desarrollo Personal",54-65
176,Masculino,Nutrición,30-41
177,Masculino,"Mascotas, Familia",18-29
178,No Binario,Nutrición,18-29
179,No Binario,Deportes,42-53
180,Masculino,"Familia, Deportes, Desarrollo Personal",42-53
181,No Binario,"Bienestar Mental, Desarrollo Personal, Mascotas",42-53
182,Femenino,Mascotas,54-65
183,Prefiero no decir,"Deportes, Salud, Bienestar Mental",42-53
184,No Binario,"Salud, Nutrición, Deportes",54-65
185,Masculino,Nutrición,18-29
186,Femenino,Salud,42-53
187,Prefiero no decir,"Nutrición, Deportes",42-53
188,Prefiero no decir,"Mascotas, Familia, Deportes",30-41
189,Masculino,"Nutrición, Mascotas",54-65
190,No Binario,"Desarrollo Personal, Deportes, Bienestar Mental",30-41
191,Femenino,"Deportes, Familia, Desarrollo Personal",30-41
192,No Binario,"Familia, Bienestar Mental",30-41
193,Femenino,"Nutrición, Mascotas",54-65
194,Femenino,Nutrición,18-29
195,No Binario,"Bienestar Mental, Nutrición, Mascotas",18-29
196,Prefiero no decir,"Familia, Salud, Nutrición",54-65
197,Prefiero no decir,"Nutrición, Deportes, Salud",30-41
198,Femenino,"Nutrición, Desarrollo Personal, Bienestar Mental",42-53
199,No Binario,"Deportes, Salud",18-29
200,Prefiero no decir,"Salud, Familia",18-29
201,No Binario,Salud,42-53
202,Prefiero no decir,Deportes,42-53
203,Femenino,"Bienestar Mental, Mascotas, Deportes",42-53
204,No Binario,"Desarrollo Personal, Salud",42-53
205,Masculino,Familia,54-65
206,Prefiero no decir,Deportes,30-41
207,Femenino,"Familia, Salud",18-29
208,Masculino,"Familia, Deportes",54-65
209,Masculino,"Familia, Deportes, Bienestar Mental",54-65
210,Prefiero no decir,"Bienestar Mental, Mascotas",30-41
211,Masculino,"Bienestar Mental, Familia",18-29
212,No Binario,Desarrollo Personal,30-41
213,Femenino,"Salud, Familia",30-41
214,Femenino,Deportes,54-65
215,Masculino,Bienestar Mental,54-65
216,Prefiero no decir,Familia,18-29
217,Masculino,"Nutrición, Deportes, Salud",18-29
218,Femenino,"Mascotas, Familia, Desarrollo Personal",30-41
219,Femenino,Familia,54-65
220,No Binario,Nutrición,54-65
221,Femenino,"Salud, Nutrición, Desarrollo Personal",30-41
222,Prefiero no decir,Salud,42-53
223,No Binario,"Deportes, Salud",30-41
224,Femenino,"Nutrición, Salud, Bienestar Mental",54-65
225,Masculino,Familia,30-41
226,Femenino,"Salud, Mascotas, Deportes",30-41
227,Prefiero no decir,Deportes,18-29
228,Prefiero no decir,Bienestar Mental,18-29
229,No Binario,Salud,30-41
230,No Binario,"Nutrición, Deportes, Salud",30-41
231,No Binario,Salud,54-65
232,Masculino,"Salud, Nutrición, Mascotas",18-29
233,No Binario,"Deportes, Salud, Bienestar Mental",30-41
234,Femenino,"Nutrición, Bienestar Mental, Familia",42-53
235,Prefiero no decir,"Nutrición, Bienestar Mental, Familia",30-41
236,Femenino,"Bienestar Mental, Deportes",30-41
237,Femenino,Desarrollo Personal,30-41
238,Femenino,"Familia, Desarrollo Personal, Salud",54-65
239,No Binario,"Desarrollo Personal, Deportes",42-53
240,Femenino,"Bienestar Mental, Desarrollo Personal, Deportes",18-29
241,No Binario,Bienestar Mental,18-29
242,Femenino,"Desarrollo Personal, Nutrición",18-29
243,Femenino,Familia,18-29
244,No Binario,"Nutrición, Familia",18-29
245,Prefiero no decir,"Salud, Deportes, Bienestar Mental",30-41
246,Masculino,"Nutrición, Deportes, Bienestar Mental",30-41
247,No Binario,"Nutrición, Deportes, Bienestar Mental",18-29
248,Prefiero no decir,"Desarrollo Personal, Nutrición",42-53
249,Prefiero no decir,"Deportes, Desarrollo Personal, Nutrición",42-53
250,No Binario,"Bienestar Mental, Desarrollo Personal",54-65
251,Femenino,Desarrollo Personal,42-53
252,Femenino,"Salud, Mascotas",30-41
253,Prefiero no decir,"Familia, Bienestar Mental, Desarrollo Personal",42-53
254,No Binario,"Salud, Desarrollo Personal",42-53
255,Prefiero no decir,"Bienestar Mental, Salud",18-29
256,Masculino,"Familia, Salud",18-29
257,Masculino,"Desarrollo Personal, Deportes",18-29
258,Femenino,"Deportes, Bienestar Mental",42-53
259,Prefiero no decir,"Familia, Bienestar Mental",18-29
260,Masculino,"Nutrición, Mascotas, Bienestar Mental",54-65
261,Masculino,"Bienestar Mental, Mascotas, Nutrición",30-41
262,No Binario,"Nutrición, Mascotas, Salud",18-29
263,Femenino,Nutrición,18-29
264,Masculino,"Familia, Desarrollo Personal, Nutrición",30-41
265,Femenino,"Mascotas, Bienestar Mental, Salud",18-29
266,Femenino,Deportes,54-65
267,Masculino,Deportes,42-53
268,Prefiero no decir,Desarrollo Personal,30-41
269,Masculino,"Salud, Nutrición",42-53
270,Femenino,Salud,18-29
271,Femenino,"Mascotas, Bienestar Mental",42-53
272,Masculino,Desarrollo Personal,42-53
273,Masculino,Mascotas,30-41
274,Femenino,Desarrollo Personal,30-41
275,Prefiero no decir,Deportes,18-29
276,No Binario,"Familia, Bienestar Mental, Mascotas",30-41
277,Femenino,"Mascotas, Familia, Deportes",42-53
278,No Binario,Nutrición,42-53
279,No Binario,"Mascotas, Salud, Nutrición",18-29
280,No Binario,Desarrollo Personal,30-41
281,Femenino,"Familia, Bienestar Mental",18-29
282,Prefiero no decir,"Deportes, Desarrollo Personal, Bienestar Mental",42-53
283,No Binario,"Bienestar Mental, Mascotas, Deportes",54-65
284,Masculino,"Desarrollo Personal, Nutrición, Mascotas",54-65
285,No Binario,Familia,42-53
286,Prefiero no decir,"Nutrición, Mascotas, Desarrollo Personal",54-65
287,Femenino,"Mascotas, Nutrición, Desarrollo Personal",54-65
288,Prefiero no decir,"Nutrición, Familia",30-41
289,Femenino,"Bienestar Mental, Familia, Mascotas",18-29
290,Masculino,"Mascotas, Desarrollo Personal, Bienestar Mental",54-65
291,Prefiero no decir,"Desarrollo Personal, Nutrición, Mascotas",42-53
292,Masculino,"Desarrollo Personal, Nutrición, Familia",42-53
293,Femenino,"Nutrición, Deportes",30-41
294,Prefiero no decir,"Nutrición, Salud, Bienestar Mental",30-41
295,No Binario,Mascotas,42-53
296,Prefiero no decir,"Desarrollo Personal, Familia, Nutrición",18-29
297,Femenino,"Salud, Nutrición",42-53
298,No Binario,"Desarrollo Personal, Bienestar Mental, Mascotas",18-29
299,Femenino,"Deportes, Desarrollo Personal, Bienestar Mental",18-29
300,No Binario,"Familia, Nutrición, Deportes",54-65
301,No Binario,Deportes,54-65
302,Femenino,Familia,30-41
303,Prefiero no decir,"Deportes, Desarrollo Personal, Familia",18-29
304,Masculino,"Familia, Bienestar Mental, Salud",30-41
305,Prefiero no decir,"Mascotas, Bienestar Mental, Nutrición",54-65
306,No Binario,Desarrollo Personal,42-53
307,Prefiero no decir,"Nutrición, Deportes, Bienestar Mental",18-29
308,Masculino,"Familia, Mascotas, Salud",54-65
309,No Binario,Salud,54-65
310,Prefiero no decir,"Salud, Deportes, Bienestar Mental",18-29
311,Masculino,"Desarrollo Personal, Nutrición",54-65
312,Prefiero no decir,"Mascotas, Desarrollo Personal, Deportes",54-65
313,Femenino,Nutrición,42-53
314,No Binario,"Salud, Mascotas",30-41
315,No Binario,Nutrición,30-41
316,Prefiero no decir,"Deportes, Mascotas",18-29
317,Femenino,Mascotas,42-53
318,Femenino,Familia,42-53
319,No Binario,"Salud, Mascotas, Familia",18-29
320,Masculino,"Salud, Familia",42-53
321,Femenino,"Salud, Nutrición, Familia",42-53
322,Femenino,"Desarrollo Personal, Mascotas, Bienestar Mental",42-53
323,Femenino,"Familia, Deportes",30-41
324,Masculino,"Nutrición, Salud",42-53
325,No Binario,"Mascotas, Nutrición",42-53
326,Masculino,Deportes,54-65
327,No Binario,"Familia, Deportes",18-29
328,Prefiero no decir,Nutrición,42-53
329,Masculino,"Salud, Familia, Nutrición",30-41
330,Masculino,Deportes,54-65
331,No Binario,Familia,42-53
332,Prefiero no decir,Familia,18-29
333,Prefiero no decir,"Salud, Desarrollo Personal",54-65
334,Masculino,"Familia, Deportes, Nutrición",42-53
335,Prefiero no decir,Mascotas,30-41
336,Prefiero no decir,"Mascotas, Bienestar Mental, Nutrición",18-29
337,Femenino,"Salud, Familia, Deportes",42-53
338,Prefiero no decir,"Desarrollo Personal, Deportes, Familia",30-41
339,Masculino,Mascotas,30-41
340,Prefiero no decir,"Deportes, Bienestar Mental",30-41
341,Masculino,"Desarrollo Personal, Nutrición, Salud",30-41
342,No Binario,"Salud, Bienestar Mental",54-65
343,Femenino,Deportes,54-65
344,No Binario,Deportes,42-53
345,No Binario,"Bienestar Mental, Salud, Nutrición",18-29
346,Masculino,"Familia, Nutrición, Mascotas",30-41
347,No Binario,Deportes,18-29
348,Femenino,Mascotas,18-29
349,Masculino,"Familia, Bienestar Mental",18-29
350,No Binario,"Mascotas, Bienestar Mental",42-53
351,No Binario,"Bienestar Mental, Familia, Nutrición",18-29
352,Femenino,"Mascotas, Deportes, Desarrollo Personal",30-41
353,No Binario,"Mascotas, Nutrición, Desarrollo Personal",30-41
354,Prefiero no decir,Bienestar Mental,30-41
355,No Binario,"Mascotas, Desarrollo Personal",30-41
356,No Binario,Mascotas,42-53
357,Masculino,"Familia, Nutrición",42-53
358,Masculino,"Desarrollo Personal, Nutrición, Mascotas",18-29
359,Masculino,"Desarrollo Personal, Familia",42-53
360,Prefiero no decir,"Mascotas, Familia",18-29
361,No Binario,"Bienestar Mental, Mascotas, Salud",18-29
362,Masculino,Deportes,30-41
363,Femenino,Mascotas,18-29
364,Prefiero no decir,"Desarrollo Personal, Deportes",54-65
365,Prefiero no decir,"Bienestar Mental, Familia",42-53
366,No Binario,Nutrición,42-53
367,No Binario,"Nutrición, Deportes, Familia",42-53
368,Masculino,Familia,42-53
369,Masculino,"Deportes, Familia",54-65
370,Femenino,"Nutrición, Mascotas, Desarrollo Personal",54-65
371,Masculino,"Salud, Bienestar Mental",54-65
372,Masculino,"Familia, Deportes, Desarrollo Personal",54-65
373,Masculino,"Mascotas, Salud",18-29
374,Femenino,Bienestar Mental,42-53
375,Masculino,Nutrición,30-41
376,Masculino,"Salud, Familia, Mascotas",54-65
377,Prefiero no decir,Desarrollo Personal,30-41
378,No Binario,"Familia, Desarrollo Personal, Mascotas",42-53
379,Prefiero no decir,Nutrición,54-65
380,Masculino,Familia,18-29
381,Masculino,"Deportes, Nutrición, Bienestar Mental",30-41
382,Masculino,"Deportes, Salud, Desarrollo Personal",42-53
383,No Binario,"Deportes, Mascotas, Desarrollo Personal",18-29
384,Prefiero no decir,"Nutrición, Salud, Bienestar Mental",54-65
385,Prefiero no decir,"Familia, Nutrición",42-53
386,Prefiero no decir,"Familia, Deportes",42-53
387,Femenino,"Mascotas, Familia",42-53
388,Prefiero no decir,Mascotas,42-53
389,Femenino,"Mascotas, Salud, Nutrición",54-65
390,Femenino,"Mascotas, Deportes",18-29
391,No Binario,"Mascotas, Salud",54-65
392,Masculino,"Desarrollo Personal, Bienestar Mental",18-29
393,No Binario,"Salud, Familia, Mascotas",42-53
394,Masculino,"Mascotas, Salud, Nutrición",54-65
395,Masculino,"Nutrición, Deportes, Familia",30-41
396,Masculino,Familia,30-41
397,Prefiero no decir,"Salud, Desarrollo Personal",42-53
398,Prefiero no decir,Nutrición,30-41
399,Prefiero no decir,Mascotas,54-65
400,Femenino,"Mascotas, Nutrición",18-29
401,Prefiero no decir,Nutrición,18-29
402,Prefiero no decir,"Deportes, Bienestar Mental",42-53
403,No Binario,"Deportes, Mascotas",30-41
404,Femenino,"Bienestar Mental, Nutrición",30-41
405,Femenino,"Bienestar Mental, Familia",30-41
406,No Binario,Desarrollo Personal,42-53
407,Masculino,Salud,54-65
408,Femenino,"Nutrición, Salud, Desarrollo Personal",30-41
409,Masculino,"Desarrollo Personal, Nutrición",18-29
410,Prefiero no decir,"Salud, Desarrollo Personal",42-53
411,Femenino,"Deportes, Desarrollo Personal",54-65
412,No Binario,"Nutrición, Familia, Deportes",42-53
413,Femenino,"Nutrición, Desarrollo Personal",54-65
414,Masculino,Familia,18-29
415,Masculino,"Bienestar Mental, Mascotas",54-65
416,Masculino,"Nutrición, Bienestar Mental",30-41
417,Masculino,"Mascotas, Desarrollo Personal",30-41
418,Masculino,"Desarrollo Personal, Nutrición",30-41
419,Masculino,"Salud, Familia, Nutrición",42-53
420,Prefiero no decir,"Familia, Desarrollo Personal",18-29
421,Femenino,Familia,30-41
422,No Binario,"Familia, Bienestar Mental",54-65
423,No Binario,"Salud, Mascotas",30-41
424,Femenino,"Deportes, Nutrición, Desarrollo Personal",30-41
425,No Binario,"Bienestar Mental, Nutrición",18-29
426,No Binario,"Mascotas, Deportes, Desarrollo Personal",18-29
427,Prefiero no decir,"Mascotas, Desarrollo Personal",54-65
428,Prefiero no decir,"Deportes, Desarrollo Personal",54-65
429,Femenino,Bienestar Mental,18-29
430,No Binario,Desarrollo Personal,30-41
431,No Binario,"Nutrición, Deportes, Desarrollo Personal",42-53
432,No Binario,"Bienestar Mental, Familia",18-29
433,Femenino,"Bienestar Mental, Nutrición, Familia",18-29
434,Prefiero no decir,"Desarrollo Personal, Deportes",54-65
435,Prefiero no decir,"Desarrollo Personal, Salud, Familia",54-65
436,Masculino,Salud,42-53
437,No Binario,"Bienestar Mental, Deportes",54-65
438,Masculino,"Bienestar Mental, Desarrollo Personal, Familia",54-65
439,Masculino,"Bienestar Mental, Nutrición, Familia",18-29
440,Masculino,"Bienestar Mental, Deportes",18-29
441,Masculino,Bienestar Mental,42-53
442,No Binario,"Nutrición, Bienestar Mental",42-53
443,Prefiero no decir,Mascotas,54-65
444,Masculino,"Familia, Salud, Deportes",42-53
445,Masculino,"Nutrición, Deportes, Familia",30-41
446,No Binario,Deportes,30-41
447,Masculino,"Familia, Nutrición, Salud",42-53
448,Masculino,"Familia, Mascotas",42-53
449,Femenino,Familia,54-65
450,No Binario,"Bienestar Mental, Desarrollo Personal, Salud",30-41
451,Prefiero no decir,"Salud, Desarrollo Personal",18-29
452,Masculino,Salud,54-65
453,Prefiero no decir,"Salud, Bienestar Mental, Mascotas",54-65
454,Prefiero no decir,"Deportes, Mascotas, Desarrollo Personal",18-29
455,No Binario,Familia,18-29
456,Prefiero no decir,"Salud, Mascotas, Nutrición",42-53
457,Femenino,"Desarrollo Personal, Familia",54-65
458,Femenino,Deportes,18-29
459,No Binario,Desarrollo Personal,18-29
460,Masculino,"Mascotas, Nutrición",54-65
461,Femenino,"Mascotas, Familia",18-29
462,Femenino,Nutrición,18-29
463,Masculino,"Familia, Salud",18-29
464,Masculino,"Salud, Bienestar Mental",18-29
465,Prefiero no decir,"Desarrollo Personal, Deportes, Salud",54-65
466,Prefiero no decir,Bienestar Mental,54-65
467,Prefiero no decir,"Familia, Mascotas",18-29
468,Femenino,"Nutrición, Desarrollo Personal",42-53
469,Masculino,Desarrollo Personal,30-41
470,Femenino,Bienestar Mental,42-53
471,Femenino,Bienestar Mental,54-65
472,Prefiero no decir,Salud,54-65
473,Masculino,"Nutrición, Mascotas",54-65
474,Prefiero no decir,"Salud, Mascotas, Familia",54-65
475,No Binario,"Bienestar Mental, Salud, Deportes",42-53
476,Prefiero no decir,Mascotas,42-53
477,Masculino,Mascotas,18-29
478,No Binario,Salud,42-53
479,Femenino,"Mascotas, Nutrición, Familia",18-29
480,Masculino,"Salud, Mascotas",54-65
481,Masculino,"Mascotas, Deportes",18-29
482,No Binario,"Bienestar Mental, Desarrollo Personal, Mascotas",18-29
483,Femenino,"Bienestar Mental, Salud",30-41
484,No Binario,"Mascotas, Bienestar Mental, Familia",42-53
485,Prefiero no decir,"Deportes, Familia, Desarrollo Personal",42-53
486,No Binario,Desarrollo Personal,18-29
487,Masculino,Deportes,42-53
488,Masculino,"Deportes, Familia, Nutrición",42-53
489,Masculino,Salud,18-29
490,No Binario,"Mascotas, Salud, Nutrición",42-53
491,No Binario,Salud,54-65
492,Prefiero no decir,"Salud, Bienestar Mental",42-53
493,Femenino,"Nutrición, Bienestar Mental, Familia",18-29
494,Masculino,"Bienestar Mental, Mascotas, Deportes",18-29
495,No Binario,"Nutrición, Bienestar Mental, Mascotas",54-65
496,Femenino,Salud,54-65
497,Masculino,Deportes,18-29
498,Masculino,"Desarrollo Personal, Familia, Salud",18-29
499,No Binario,Deportes,30-41
500,No Binario,"Salud, Nutrición, Deportes",42-53
501,Prefiero no decir,"Nutrición, Desarrollo Personal, Familia",42-53
502,Femenino,Salud,54-65
503,Femenino,Familia,54-65
504,Masculino,"Nutrición, Bienestar Mental",54-65
505,No Binario,Mascotas,30-41
506,Masculino,"Mascotas, Bienestar Mental",30-41
507,Masculino,"Deportes, Nutrición",18-29
508,Masculino,"Familia, Nutrición",18-29
509,Femenino,Salud,18-29
510,Femenino,Desarrollo Personal,30-41
511,Femenino,"Mascotas, Nutrición",30-41
512,Prefiero no decir,"Nutrición, Familia, Bienestar Mental",42-53
513,Masculino,"Salud, Bienestar Mental, Deportes",42-53
514,Prefiero no decir,"Bienestar Mental, Mascotas",54-65
515,Masculino,"Mascotas, Salud, Familia",18-29
516,Prefiero no decir,Deportes,18-29
517,No Binario,"Desarrollo Personal, Mascotas",42-53
518,Femenino,"Mascotas, Nutrición",42-53
519,Femenino,Nutrición,30-41
520,Masculino,"Desarrollo Personal, Bienestar Mental, Deportes",18-29
521,Femenino,Familia,18-29
522,No Binario,"Desarrollo Personal, Nutrición, Salud",18-29
523,Femenino,Bienestar Mental,42-53
524,Femenino,"Nutrición, Salud",42-53
525,Femenino,"Desarrollo Personal, Mascotas, Bienestar Mental",18-29
526,No Binario,"Desarrollo Personal, Familia, Deportes",42-53
527,Femenino,"Familia, Mascotas, Salud",30-41
528,Prefiero no decir,Nutrición,30-41
529,Femenino,Familia,30-41
530,Prefiero no decir,"Nutrición, Mascotas",30-41
531,Prefiero no decir,Salud,30-41
532,Masculino,"Bienestar Mental, Desarrollo Personal, Salud",30-41
533,No Binario,Deportes,42-53
534,Prefiero no decir,Deportes,18-29
535,Femenino,"Deportes, Bienestar Mental",18-29
536,Femenino,"Desarrollo Personal, Nutrición, Bienestar Mental",42-53
537,Masculino,"Bienestar Mental, Deportes",18-29
538,No Binario,"Mascotas, Salud",54-65
539,Masculino,"Nutrición, Salud, Mascotas",54-65
540,No Binario,Nutrición,30-41
541,No Binario,"Nutrición, Desarrollo Personal",30-41
542,Masculino,"Desarrollo Personal, Nutrición",18-29
543,Masculino,Familia,30-41
544,Prefiero no decir,"Mascotas, Bienestar Mental, Familia",30-41
545,Femenino,"Mascotas, Deportes, Nutrición",30-41
546,Masculino,"Nutrición, Bienestar Mental, Desarrollo Personal",18-29
547,Masculino,"Familia, Mascotas",30-41
548,No Binario,Salud,18-29
549,No Binario,"Deportes, Familia",42-53
550,Masculino,Familia,30-41
551,Femenino,"Familia, Deportes",30-41
552,No Binario,Desarrollo Personal,30-41
553,Prefiero no decir,"Familia, Nutrición, Bienestar Mental",42-53
554,Prefiero no decir,"Nutrición, Salud",54-65
555,Masculino,Desarrollo Personal,30-41
556,Prefiero no decir,"Deportes, Familia, Salud",54-65
557,Masculino,"Nutrición, Familia, Bienestar Mental",30-41
558,Femenino,"Deportes, Salud",42-53
559,Prefiero no decir,"Nutrición, Desarrollo Personal, Deportes",54-65
